cat, sub_cat,ignr_cs, lng, func, rx
phone_number, north_america,FALSE, ALL,					,([1]([.\s\_\-]*))*[\(]*[:digit:]{3}[\)]*([.\s\_\-]*)[:digit:]{3}([.\s\_\-]*)[:digit:]{4}
e_mail,,FALSE, ALL,							,[[:alnum:].-_]+@[[:alnum:].-]+
postal_code,canadian, TRUE, ALL,						,[ABCEGHJ-NPRSTVXY][:digit:][ABCEGHJ-NPRSTV-Z][ -]?[:digit:][ABCEGHJ-NPRSTV-Z][:digit:]
sin_number,,FALSE, ALL,validate_sin			,[:digit:]{3}([.\s\_\-]*)[:digit:]{3}([.\s\_\-]*)[:digit:]{3}
credit_card,amex_card,FALSE, ALL,luhn_checksum				,3[47][0-9]{13}
credit_card,bc_global,FALSE, ALL,luhn_checksum				,(6541|6556)[0-9]{12}
credit_card,carte_blanche,FALSE, ALL,luhn_checksum			,389[0-9]{11}
credit_card,diners_club,FALSE, ALL,luhn_checksum				,3(?:0[0-5]|[68][0-9])[0-9]{11}
credit_card,discover_card,FALSE, ALL,luhn_checksum			,65[4-9][0-9]{13}|64[4-9][0-9]{13}|6011[0-9]{12}|(622(?:12[6-9]|1[3-9][0-9]|[2-8][0-9][0-9]|9[01][0-9]|92[0-5])[0-9]{10})
credit_card,insta_payment,FALSE, ALL,luhn_checksum			,63[7-9][0-9]{13}
credit_card,jcb_card,FALSE, ALL,luhn_checksum				,(?:2131|1800|35\d{3})\d{11}
credit_card,korean_local,FALSE, ALL,luhn_checksum				,9[0-9]{15}
credit_card,lazer_card,FALSE, ALL,luhn_checksum					,(6304|6706|6709|6771)[0-9]{12,15}
credit_card,maestro ,FALSE, ALL,luhn_checksum					,(5018|5020|5038|6304|6759|6761|6763)[0-9]{8,15}
credit_card,mastercard,FALSE, ALL,luhn_checksum					,(5[1-5][0-9]{14}|2(22[1-9][0-9]{12}|2[3-9][0-9]{13}|[3-6][0-9]{14}|7[0-1][0-9]{13}|720[0-9]{12}))
credit_card,solo_card,FALSE, ALL,luhn_checksum					,(6334|6767)[0-9]{12}|(6334|6767)[0-9]{14}|(6334|6767)[0-9]{15}
credit_card,switch_card,FALSE, ALL,luhn_checksum					,(4903|4905|4911|4936|6333|6759)[0-9]{12}|(4903|4905|4911|4936|6333|6759)[0-9]{14}|(4903|4905|4911|4936|6333|6759)[0-9]{15}|564182[0-9]{10}|564182[0-9]{12}|564182[0-9]{13}|633110[0-9]{10}|633110[0-9]{12}|633110[0-9]{13}
credit_card,union_pay ,FALSE, ALL,luhn_checksum					,(62[0-9]{14,17})
credit_card,visa,FALSE, ALL,luhn_checksum						,4[0-9]{12}(?:[0-9]{3})?
credit_card,visa_master,FALSE, ALL,luhn_checksum					,(?:4[0-9]{12}(?:[0-9]{3})?|5[1-5][0-9]{14})
